City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
341,Umbauba,BR,71.67,clear sky,-11.3833,-37.6578,Hotel California 18
342,Acarau,BR,77.22,overcast clouds,-2.8856,-40.12,
344,Los Llanos De Aridane,ES,58.75,overcast clouds,28.6585,-17.9182,Apartamentos Atlantis
347,Marsa Matruh,EG,56.77,clear sky,31.3525,27.2453,عروس البحر
349,Labuhan,ID,79.68,overcast clouds,-6.8844,112.2051,
351,Filiatra,GR,62.69,clear sky,37.15,21.5833,Hotel Limenari
352,Nouadhibou,MR,62.58,few clouds,20.931,-17.0347,السلام
353,Bathsheba,BB,77.61,light rain,13.2167,-59.5167,Clifton Hall Great House
355,Mbandaka,CD,78.12,overcast clouds,0.0487,18.2603,Benghazi
359,Lazaro Cardenas,MX,72.66,overcast clouds,17.9583,-102.2,Quinta Antigua Hotel
363,Shakawe,BW,66.63,overcast clouds,-18.3667,21.85,
366,La Serena,CL,62.11,overcast clouds,-29.9078,-71.2542,Apart Hotel StellaMar
367,Takaungu,KE,76.42,overcast clouds,-3.6837,39.8566,
369,Gwembe,ZM,61.47,broken clouds,-16.4975,27.6069,
370,Waingapu,ID,84.31,overcast clouds,-9.6567,120.2641,Hotel Jemmy
371,Cerkezkoy,TR,55.58,clear sky,41.285,28.0003,Golden Palas Hotel (****)
372,Carlsbad,US,55.29,clear sky,33.1581,-117.3506,SpringHill Suites by Marriott San Diego Carlsbad
373,Coquimbo,CL,62.33,overcast clouds,-29.9533,-71.3436,Hotel Liverpool
375,Tuatapere,NZ,76.15,scattered clouds,-46.1333,167.6833,
377,Port Hedland,AU,77.05,overcast clouds,-20.3167,118.5667,Hospitality Port Hedland
378,Itarema,BR,77.61,overcast clouds,-2.9248,-39.9167,Barraca Do Kite
379,Kita,ML,70.88,clear sky,13.0349,-9.4895,Campement Administratif Pied à Terre de Kita
380,Hambantota,LK,73.45,broken clouds,6.1241,81.1185,Peacock Beach hotel Hamabthota
381,Alofi,NU,84.09,light rain,-19.0595,-169.9187,
384,Marsabit,KE,67.21,overcast clouds,2.3284,37.9899,Gof Hotel
385,Mouila,GA,74.12,overcast clouds,-1.8685,11.0559,Le Lac Bleu
387,San Miguelito,PA,79.34,overcast clouds,9.0333,-79.5,Aloft Panama
390,Roebourne,AU,82.18,light rain,-20.7833,117.1333,
392,Kirakira,SB,84.34,moderate rain,-10.4544,161.9205,
393,Ahuimanu,US,82.11,broken clouds,21.4447,-157.8378,
395,Carutapera,BR,73.33,overcast clouds,-1.195,-46.02,
397,Mocuba,MZ,71.55,overcast clouds,-16.8392,36.9856,
398,Loubomo,CG,71.87,overcast clouds,-4.1997,12.6739,Foula Palace
399,Bugene,TZ,55.89,scattered clouds,-1.5911,31.1403,Karven Hotel
400,Sao Filipe,CV,75.13,clear sky,14.8961,-24.4956,Bela Vista
402,Emerald,AU,84.34,clear sky,-23.5333,148.1667,Emerald Central Hotel
403,Santa Maria,BR,72.86,scattered clouds,-29.6842,-53.8069,Hotel de Trânsito de Santa Maria
404,Richards Bay,ZA,78.35,overcast clouds,-28.783,32.0377,Protea Hotel
411,Banda Aceh,ID,78.85,overcast clouds,5.5577,95.3222,The Pade Hotel
413,Vanimo,PG,82.83,overcast clouds,-2.6741,141.3028,Vanimo Surf Lodge
414,Lobito,AO,76.39,overcast clouds,-12.3481,13.5456,Hotel Restinga
428,Plettenberg Bay,ZA,70.9,overcast clouds,-34.0527,23.3716,Beacon Island Resort
430,Port Blair,IN,75.24,mist,11.6667,92.75,Hornbill Nest resort
431,Tezu,IN,59.79,clear sky,27.9167,96.1667,
432,Abadiania,BR,67.12,clear sky,-16.2042,-48.7069,Hotel Fazenda RR
433,Ancud,CL,55.96,clear sky,-41.8697,-73.8203,Hostería Ancud
435,Isangel,VU,77.11,overcast clouds,-19.55,169.2667,Tanna Lodge
436,Gualeguay,AR,73.35,overcast clouds,-33.1416,-59.3097,
437,Kloulklubed,PW,81.1,light rain,7.0419,134.2556,The Adventures Inn
438,Vila Velha,BR,75.15,scattered clouds,-20.3297,-40.2925,Hostess Hotel
439,Lorengau,PG,82.9,broken clouds,-2.0226,147.2712,Seeadler Bay Hotel
442,Chongwe,ZM,63.36,light rain,-15.3292,28.682,
444,Palmas De Monte Alto,BR,68.02,broken clouds,-14.2672,-43.1619,
445,Cumberland,US,58.46,clear sky,35.0502,-78.8664,WoodSpring Suites Fayetteville
447,Acapulco,MX,78.62,few clouds,16.8634,-99.8901,Hotel del Magisterio
451,Prainha,BR,70.75,overcast clouds,-1.8,-53.48,
452,Champerico,GT,77.94,overcast clouds,14.3,-91.9167,Posada Del Mar
457,Salalah,OM,70.02,clear sky,17.0151,54.0924,Al Andalus Hotel Apartments
459,Caravelas,BR,74.14,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
463,Lumeje,AO,62.33,overcast clouds,-11.55,20.7833,
465,Touros,BR,78.57,scattered clouds,-5.1989,-35.4608,Pousada Atlântico
467,Opunake,NZ,72.63,clear sky,-39.4556,173.8583,Headlands Hotel and Restaurant Opunake
468,Fayaoue,NC,77.77,overcast clouds,-20.65,166.5333,Hôtel Beaupré
469,Balsas,BR,70.34,heavy intensity rain,-7.5325,-46.0356,Hotel Balsas
475,Takapau,NZ,62.46,overcast clouds,-40.0333,176.35,
476,Jacmel,HT,73.24,clear sky,18.2342,-72.5347,Cap Lamandou Hotel
479,Dingle,PH,81.0,broken clouds,10.9995,122.6711,
481,Qeshm,IR,60.69,scattered clouds,26.9581,56.2719,هتل مارینا یک
482,Colorado,BR,72.77,overcast clouds,-22.8375,-51.9731,Servilha Park Hotel
483,Manaus,BR,75.7,moderate rain,-3.1019,-60.025,HTSS- Hotel de Trânsito de Subtenentes e Sargentos
484,Kasane,BW,65.05,overcast clouds,-17.8167,25.15,Pangulin Chobe Hotel
486,Kavieng,PG,84.63,light rain,-2.5744,150.7967,Kavieng Niu Lodge
487,Puerto Boyaca,CO,72.84,clear sky,5.9758,-74.5885,Hotel Mónaco
488,Vangaindrano,MG,74.41,overcast clouds,-23.35,47.6,Fanilo
492,Point Fortin,TT,74.89,overcast clouds,10.1833,-61.6833,Kennys cove
493,Wajid,SO,70.21,broken clouds,3.8093,43.2471,
494,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Hotel
497,Sambava,MG,77.72,moderate rain,-14.2667,50.1667,Orchidéa Beach II
499,Maine-Soroa,NE,64.22,clear sky,13.2114,12.0241,Maïné-Soroa
501,Santa Rosa,PH,84.11,broken clouds,14.3122,121.1114,Mariposa
502,Dwarka,IN,66.54,few clouds,22.2394,68.9678,The Dwarika Hotel
504,Beloha,MG,70.05,clear sky,-25.1667,45.05,
505,West Helena,US,55.15,overcast clouds,34.5507,-90.6418,
510,Buchanan,LR,77.99,scattered clouds,5.8808,-10.0467,Buchanan Hotel
512,Nouakchott,MR,66.13,scattered clouds,18.0858,-15.9785,The Best Semiramis Hotel
513,Sao Felix Do Xingu,BR,70.23,overcast clouds,-6.6447,-51.995,Hotel Vista Rara
515,Tha Chang,TH,82.22,few clouds,9.2642,99.1922,K2 hotel wrong location. Hotel is 12km south on the main road
517,Nokaneng,BW,67.98,overcast clouds,-19.6667,22.2667,
520,Chicama,PE,66.74,overcast clouds,-7.8447,-79.1469,
521,Suwannaphum,TH,67.08,clear sky,15.6035,103.8021,Suwan Hotel & Resort
522,Valdivia,CL,60.89,clear sky,-39.8142,-73.2459,Hotel Melillanca
523,Camocim,BR,75.97,overcast clouds,-2.9022,-40.8411,Camocim Praia Hotel
533,Chingola,ZM,59.72,overcast clouds,-12.529,27.8838,Protea Hotel
534,Arona,ES,58.82,broken clouds,28.0996,-16.681,Chatur Playa Real Resort
536,Praya,CV,72.86,overcast clouds,14.9215,-23.5087,Hotel Cesaria
537,Sao Gabriel Da Cachoeira,BR,71.74,overcast clouds,-0.1303,-67.0892,Casa de Hóspedes do CFRN/5ºBIS
540,San Isidro,PE,75.02,clear sky,-12.1167,-77.05,JW Marriott Hotel Lima
543,Manicore,BR,69.67,overcast clouds,-5.8092,-61.3003,
546,Santa Isabel Do Rio Negro,BR,72.0,overcast clouds,-0.4139,-65.0192,Hotel Ayuana
547,Yangjiang,CN,57.74,clear sky,21.85,111.9667,Jinghu Hotel
548,Moron,AR,79.97,overcast clouds,-34.6534,-58.6198,Hotel Haedo
549,Durham,US,56.26,overcast clouds,36.0335,-78.8664,Duke Tower
556,Kanchanaburi,TH,74.89,broken clouds,14.6333,99.1,
557,Half Moon Bay,US,55.26,overcast clouds,37.4636,-122.4286,Quality Inn
558,Mato Verde,BR,67.78,clear sky,-15.3972,-42.8664,
560,Mogadishu,SO,76.19,overcast clouds,2.0371,45.3438,Elite Hotel
561,Panama City,PA,79.84,overcast clouds,8.9936,-79.5197,Aloft Panama
563,Constitucion,CL,56.1,few clouds,-35.3333,-72.4167,Hotel Casona del Cerro
564,Trincomalee,LK,77.59,clear sky,8.5711,81.2335,trinco rest house
565,Madison,US,68.09,broken clouds,34.7334,-86.5667,"106 Jefferson Huntsville, Curio Collection by Hilton"
568,Hobyo,SO,76.17,overcast clouds,5.3505,48.5268,
572,Tombouctou,ML,68.29,overcast clouds,20.0,-3.0,
573,Ugoofaaru,MV,81.05,clear sky,5.6667,73.0,
575,Srivardhan,IN,67.46,clear sky,18.0333,73.0167,Harihareshwar MTDC Resort
576,Awjilah,LY,55.2,broken clouds,29.1081,21.2869,
578,Caconda,AO,58.3,overcast clouds,-13.7333,15.0667,
580,Maragogi,BR,76.82,scattered clouds,-9.0122,-35.2225,Hotel Praia Dourada
584,Marawi,PH,78.24,scattered clouds,7.9986,124.2928,Marawi Resort Hotel
585,Lakes Entrance,AU,69.17,scattered clouds,-37.8811,147.981,Central Hotel
588,Cabedelo,BR,75.87,broken clouds,-6.9811,-34.8339,
589,San Patricio,US,71.69,clear sky,28.017,-97.5169,
594,Yeppoon,AU,83.98,few clouds,-23.1333,150.7333,Blossom's on Seaspray
597,Quatre Cocos,MU,79.09,moderate rain,-20.2078,57.7625,Hotel Sunrise Attitude
601,Bilma,NE,60.31,clear sky,18.6853,12.9164,
602,Florianopolis,BR,74.62,broken clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
606,Itoman,JP,65.17,few clouds,26.1247,127.6694,ホテルスポーツロッジ糸満
608,Cuamba,MZ,67.86,overcast clouds,-14.8031,36.5372,Pensao Cariaco
610,Tshela,CD,73.27,light rain,-4.9833,12.9333,
611,Thinadhoo,MV,81.66,broken clouds,0.5333,72.9333,
612,Dinguiraye,GN,69.15,clear sky,11.3,-10.7167,
613,Pochutla,MX,76.82,few clouds,15.7432,-96.4661,Posada San Jose
614,Sarangani,PH,81.66,scattered clouds,5.4033,125.4636,
615,Diego De Almagro,CL,67.05,clear sky,-26.3667,-70.05,Residencial Hambyll
617,Saint-Leu,RE,81.95,light rain,-21.15,55.2833,Iloha Seaview Hôtel
618,Sinnamary,GF,75.27,overcast clouds,5.3833,-52.95,L'Oiseau de Paradis - Hôtel Eco-Lodge
619,Rio Gallegos,AR,64.45,few clouds,-51.6226,-69.2181,Avellaneda Hotel
620,Bossier City,US,57.2,mist,32.516,-93.7321,Siegel Select - Bossier City
623,Lhokseumawe,ID,79.48,overcast clouds,5.1801,97.1507,Vina Vira Hotel
624,Breyten,ZA,57.04,overcast clouds,-26.3018,29.987,
627,Luau,AO,61.68,overcast clouds,-10.7073,22.2247,
629,Tura,IN,56.53,clear sky,25.5198,90.2201,
632,Bhinmal,IN,57.0,overcast clouds,25.0,72.25,
633,Samarai,PG,84.54,overcast clouds,-10.6167,150.6667,
636,Morant Bay,JM,78.42,scattered clouds,17.8815,-76.4093,Golden Shore Resort
638,Loandjili,CG,78.71,light rain,-4.7561,11.8578,MINI Hôtel Bar Le NZOUMBA
639,Djambala,CG,69.6,overcast clouds,-2.5447,14.7533,
640,Tulum,MX,77.81,few clouds,20.2167,-87.4667,Bliss Tulum
641,The Valley,AI,77.09,clear sky,18.217,-63.0578,La Vue
642,Veraval,IN,65.61,clear sky,20.9,70.3667,Hotel Park
643,Taltal,CL,67.01,scattered clouds,-25.4,-70.4833,Hostería Taltal
644,Mecca,SA,70.92,few clouds,21.4267,39.8261,Umm Al Qura Makkah
646,Japura,ID,77.86,light rain,-0.3167,102.35,
653,Goundam,ML,67.44,clear sky,16.4145,-3.6708,
657,El Monte,US,56.44,overcast clouds,34.0686,-118.0276,Ramada by Wyndham South El Monte
658,Sabang,ID,79.81,overcast clouds,5.8933,95.3214,Sabang Hill
659,Galesong,ID,78.82,broken clouds,-5.3166,119.3661,
660,San Carlos,VE,75.97,few clouds,9.6612,-68.5827,Hotel Villas del Norte
661,Luwuk,ID,84.83,overcast clouds,-0.9516,122.7875,Swiss Belinn Hotel Luwuk
662,Pimentel,PE,70.09,clear sky,-6.8367,-79.9342,Hospedaje Calle del Sol
664,Lahij,YE,67.95,clear sky,13.1667,44.5833,
665,Graaff-Reinet,ZA,70.92,overcast clouds,-32.2522,24.5308,Drostdy Hotel
668,Wamba,NG,71.04,few clouds,8.9333,8.6,
672,Tanout,NE,60.91,clear sky,14.9709,8.8879,
675,Loikaw,MM,63.95,overcast clouds,19.6742,97.2094,Loikaw Lodge
681,Garowe,SO,64.44,scattered clouds,8.4054,48.4845,Red Sea
682,San Juan,AR,83.97,clear sky,-31.5375,-68.5364,Hotel Selby
684,Kaohsiung,TW,67.95,broken clouds,22.6163,120.3133,寒軒國際大飯店
685,Vredendal,ZA,66.45,overcast clouds,-31.6683,18.5012,
686,Bang Saphan,TH,79.09,overcast clouds,11.2126,99.5117,Sailom Bangsaphan Resort
687,Valledupar,CO,80.29,few clouds,10.4631,-73.2532,Aqua Hostal
688,San Pedro,PH,83.35,broken clouds,14.35,121.0167,Hotel Takara
689,Chinchani,IN,66.45,clear sky,19.8667,72.7,
691,Ternate,ID,83.16,light rain,0.8,127.4,Batik hotel
692,Abeche,TD,66.88,clear sky,13.8292,20.8324,فندق قيصر
